date;Indice des actions;Température;Emission CO2;Emission CO2;Euro to US $;Taux d'intérêt;Prix du pétrole;;;
date;PGN;TGN;CO2GN exprimés en Millions;CO2GN;GNUS;IGN;Oil;;;
01/01/2019;10558,96;5,68;1,23787969;1237879,69;0,87478;0,246;50,57;;;
02/01/2019;10580,19;0,89;1,56120991;1561209,91;0,88071;0,171;54,06;;;
03/01/2019;10416,66;-1,8;1,89769072;1897690,72;0,87781;0,151;53,23;;;
04/01/2019;10767,69;0,58;2,01433176;2014331,76;0,87646;0,208;55,64;;;
07/01/2019;10747,81;2,29;2,08264972;2082649,72;0,87249;0,216;57,1;;;
08/01/2019;10803,98;4,05;2,16711233;2167112,33;0,87401;0,23;56,91;;;
09/01/2019;10893,32;1,26;2,21230578;2212305,78;0,86873;0,215;59,46;;;
10/01/2019;10921,59;-0,49;2,24361471;2243614,71;0,86794;0,197;60,47;;;
11/01/2019;10887,46;1,07;2,27527284;2275272,84;0,87127;0,182;59,24;;;
14/01/2019;10855,91;1,28;2,08585441;2085854,41;0,87203;0,232;58,8;;;
15/01/2019;10891,79;2,44;2,12544399;2125443,99;0,8747;0,206;58,65;;;
16/01/2019;10931,24;4,76;2,11384215;2113842,15;0,87762;0,223;59,81;;;
17/01/2019;10918,62;2,98;2,03440395;2034403,95;0,87877;0,242;59,85;;;
18/01/2019;11205,54;-1;2,07207805;2072078,05;0,87978;0,262;62,04;;;
21/01/2019;11136,2;-1,54;2,20491106;2204911,06;0,87986;0,259;62,18;;;
22/01/2019;11090,11;-3,03;2,40134318;2401343,18;0,88055;0,24;60,9;;;
23/01/2019;11071,54;-6,72;2,84717811;2847178,11;0,87881;0,225;61,05;;;
24/01/2019;11130,18;-5,49;2,97321219;2973212,19;0,88079;0,179;61,09;;;
25/01/2019;11281,79;-4,49;2,99424789;2994247,89;0,87735;0,198;61,49;;;
28/01/2019;11210,31;0,9;2,70832043;2708320,43;0,87447;0,207;59,71;;;
29/01/2019;11218,83;-0,69;2,667981;2667981;0,87604;0,197;60,98;;;
30/01/2019;11181,66;-1,27;2,6200451;2620045,1;0,87524;0,186;61,89;;;
31/01/2019;11173,1;-1,17;2,59135036;2591350,36;0,8715;0,156;62,46;;;
01/02/2019;11180,66;-1,46;2,56159474;2561594,74;0,87199;0,166;61,86;;;
04/02/2019;11176,58;-0,81;2,69597776;2695977,76;0,87501;0,18;62,26;;;
05/02/2019;11367,98;0,34;2,69338446;2693384,46;0,87642;0,166;61,67;;;
06/02/2019;11324,72;0,55;2,68924733;2689247,33;0,87885;0,164;62,22;;;
07/02/2019;11022,02;-0,15;2,60510548;2605105,48;0,88059;0,113;61,01;;;
08/02/2019;10906,78;2,3;2,48460424;2484604,24;0,88277;0,085;61,37;;;
11/02/2019;11014,59;3,16;2,07183143;2071831,43;0,88684;0,116;61,3;;;
12/02/2019;11126,08;1,42;2,04288658;2042886,58;0,885;0,131;62,58;;;
13/02/2019;11167,22;4,18;2,01096495;2010964,95;0,88594;0,122;63,27;;;
14/02/2019;11089,79;4,65;2,05475888;2054758,88;0,88692;0,102;64;;;
15/02/2019;11299,8;2,94;2,13355029;2133550,29;0,88782;0,103;65,65;;;
18/02/2019;11299,2;4,9;2,36787421;2367874,21;0,88441;0,11;66,41;;;
19/02/2019;11309,21;4,98;2,32129225;2321292,25;0,88226;0,101;65,86;;;
20/02/2019;11401,97;5,46;2,30287995;2302879,95;0,88114;0,101;66,82;;;
21/02/2019;11423,28;6,85;2,26490209;2264902,09;0,88125;0,128;66,91;;;
22/02/2019;11457,7;1,83;2,25875358;2258753,58;0,88187;0,098;66,91;;;
25/02/2019;11505,39;4,22;2,30905036;2309050,36;0,88125;0,107;64,02;;;
26/02/2019;11540,79;5,03;2,32623322;2326233,22;0,8804;0,114;64,51;;;
27/02/2019;11487,33;6,44;2,30449512;2304495,12;0,87854;0,154;65,55;;;
28/02/2019;11515,64;5,26;2,26573257;2265732,57;0,87819;0,186;65,03;;;
01/03/2019;11601,68;3,58;2,27378115;2273781,15;0,87816;0,187;63,71;;;
04/03/2019;11592,66;8,48;2,02060219;2020602,19;0,88328;0,159;64,44;;;
05/03/2019;11620,74;5,51;1,95836154;1958361,54;0,88453;0,167;64,24;;;
06/03/2019;11587,63;5,73;1,91580929;1915809,29;0,88359;0,13;64,51;;;
07/03/2019;11517,8;9,07;1,85976596;1859765,96;0,89035;0,067;64,82;;;
08/03/2019;11457,84;5,96;1,7575048;1757504,8;0,89012;0,074;65,66;;;
11/03/2019;11543,48;2,69;1,7460017;1746001,7;0,89095;0,064;65,06;;;
12/03/2019;11524,17;4,07;1,74614037;1746140,37;0,88696;0,059;65,33;;;
13/03/2019;11572,41;6,15;1,7177876;1717787,6;0,88421;0,065;65,89;;;
